Al,Co,Fe,Ni,Si,Mn,Cr,Mo,Ti,Cu,Zr,V,Nb,Sn,Zn,Ta,Hf,W,B,C,FCC,BCC,IM
0.1961,0.1961,0.1961,0.1961,0,0,0.1961,0,0,0,0,0,0.0196,0,0,0,0,0,0,0,0,1,0
0.1905,0.1905,0.1905,0.1905,0,0,0.1905,0,0,0,0,0,0.0476,0,0,0,0,0,0,0,0,1,1
0.1818,0.1818,0.1818,0.1818,0,0,0.1818,0,0,0,0,0,0.0909,0,0,0,0,0,0,0,0,1,1
0.196,0.196,0.118,0.196,0,0,0.196,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.182,0.182,0.182,0.182,0,0,0.182,0.0091,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.167,0.167,0.25,0.167,0,0,0.167,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.154,0.154,0.308,0.154,0,0,0.154,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.182,0.182,0.182,0,0,0.182,0,0.0909,0.182,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0454,0.182,0.182,0.182,0,0,0.182,0,0.0909,0.136,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0909,0.182,0.182,0.182,0,0,0.182,0,0.0909,0.0909,0,0,0,0,0,0,0,0,0,0,1,1,0
0.136,0.182,0.182,0.182,0,0,0.182,0,0.0909,0.0454,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1818,0.1818,0.1818,0.1818,0,0,0.1818,0,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1667,0.1667,0.1667,0.1667,0,0,0.1667,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1538,0.1538,0.1538,0.1538,0,0,0.1538,0,0.2308,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.2,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0566,0.1887,0.1887,0.1887,0,0,0.1887,0,0,0.1887,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0909,0.1818,0.1818,0.1818,0,0,0.1818,0,0,0.1818,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1379,0.1724,0.1724,0.1724,0,0,0.1724,0,0,0.1724,0,0,0,0,0,0,0,0,0,0,1,1,0
0.1667,0.1667,0.1667,0.1667,0,0,0.1667,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,1,1,0
0.2063,0.1587,0.1587,0.1587,0,0,0.1587,0,0,0.1587,0,0,0,0,0,0,0,0,0,0,1,1,0
0.2308,0.1538,0.1538,0.1538,0,0,0.1538,0,0,0.1538,0,0,0,0,0,0,0,0,0,0,1,1,0
0.2647,0.1471,0.1471,0.1471,0,0,0.1471,0,0,0.1471,0,0,0,0,0,0,0,0,0,0,1,1,0
0.2857,0.1429,0.1429,0.1429,0,0,0.1429,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,1,1,0
0.3151,0.137,0.137,0.137,0,0,0.137,0,0,0.137,0,0,0,0,0,0,0,0,0,0,1,1,0
0.3333,0.1333,0.1333,0.1333,0,0,0.1333,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,1,1,0
0.359,0.1282,0.1282,0.1282,0,0,0.1282,0,0,0.1282,0,0,0,0,0,0,0,0,0,0,0,1,0
0.375,0.125,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,1,0
0.25,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2381,0,0.2381,0.2381,0,0,0.2381,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2222,0,0.2222,0.2222,0,0,0.2222,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2083,0,0.2083,0.2083,0,0,0.2083,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2,0,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.2222,0.2222,0.2222,0,0,0.2222,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.2222,0.2222,0.2222,0,0,0.2222,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,1,0,1
